Question_ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Topic,Difficulty
69,Which data structure follows FIFO principle?,Stack,Queue,Deque,Heap,B,Heap,Beginner
70,What is the time complexity of enqueue and dequeue in a simple queue?,O(n),O(1),O(log n),O(n²),B,Graph,Beginner
71,A circular queue is better than a simple queue because:,It uses less memory,It avoids the wastage of space,It is faster,It requires less code,B,Graph Traversal,Beginner
72,What is the average time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(2^n),B,Shortest Path,Intermediate
73,Which sorting algorithm is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,MST,Intermediate
74,Merge Sort has a time complexity of:,O(n),O(n log n),O(n²),O(n³),B,Hash Table,Intermediate
75,Bubble Sort is efficient for which case?,Already sorted data,Reverse sorted data,Random data,Large datasets,A,Dynamic Programming,Intermediate
76,What is the space complexity of Quick Sort?,O(1),O(log n),O(n),O(n²),B,Backtracking,Intermediate
77,Binary Search works on which type of array?,Unsorted,Sorted,Partially sorted,None of above,B,String Algorithms,Intermediate
78,Time complexity of Binary Search is:,O(n),O(log n),O(n log n),O(n²),B,Greedy,Intermediate
79,Linear Search has a time complexity of:,O(1),O(log n),O(n),O(n²),C,Divide and Conquer,Intermediate
80,What is a binary tree?,Tree with max 2 children,Tree with exactly 2 children,Tree with 3 children,Tree with 4 children,A,Array,Intermediate
81,Height of a tree with single node is:,0,1,2,-1,A,Linked List,Intermediate
82,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^(h+1) - 1,2^h,h²,B,Stack,Intermediate
83,"In a BST, for any node, left child is:",Greater than parent,Less than parent,Equal to parent,Any value,B,Queue,Intermediate
84,Time complexity of searching in a balanced BST is:,O(1),O(log n),O(n),O(n²),B,Sorting,Intermediate
85,Inorder traversal of a BST gives:,Sorted array,Reverse sorted array,Random order,Heap order,A,Searching,Intermediate
86,AVL tree is a:,Unbalanced BST,Self-balancing BST,Complete tree,Perfect tree,B,Tree,Intermediate
87,Balance factor in AVL tree is defined as:,Left height - Right height,Right height - Left height,Left height + Right height,Left height / Right height,A,BST,Intermediate
88,Height of an AVL tree with n nodes is:,O(n),O(log n),O(n log n),O(n²),B,AVL Tree,Intermediate
89,"In a min heap, the smallest element is at:",Leaf,Root,Middle,Random,B,Heap,Intermediate
90,Time complexity of insertion in a heap is:,O(1),O(log n),O(n),O(n²),B,Graph,Advanced
91,Heap sort time complexity is:,O(n),O(n log n),O(n²),O(2^n),B,Graph Traversal,Advanced
92,Adjacency matrix representation requires space of:,O(V),O(E),O(V²),O(V + E),C,Shortest Path,Advanced
93,Adjacency list representation requires space of:,O(V),O(V²),O(E),O(V + E),D,MST,Advanced
94,DFS uses which data structure?,Queue,Stack,Deque,Heap,B,Hash Table,Advanced
95,BFS uses which data structure?,Stack,Queue,Priority Queue,Deque,B,Dynamic Programming,Advanced
96,Time complexity of DFS and BFS is:,O(n),O(V + E),O(V²),O(E log V),B,Backtracking,Advanced
97,Dijkstra's algorithm is used for:,Negative weights,Positive weights,Unweighted graphs,None,B,String Algorithms,Advanced
98,Bellman-Ford can handle:,Only positive weights,Negative weights,Negative cycles,All graphs,B,Greedy,Advanced
99,Floyd-Warshall finds:,Shortest path between two nodes,All pairs shortest path,Minimum spanning tree,Topological sort,B,Divide and Conquer,Advanced
100,Kruskal's algorithm uses which approach?,Dynamic Programming,Greedy,Divide and Conquer,Backtracking,B,Array,Advanced
101,Prim's algorithm starts from:,A random vertex,A specific vertex,The minimum edge,None,B,Linked List,Advanced
102,Time complexity of Kruskal's algorithm is:,O(E log E),O(V log V),O(V + E),O(V²),A,Stack,Advanced
103,Hash table provides average time complexity of:,O(log n),O(n),O(1),O(n²),C,Queue,Advanced
104,Collision resolution technique is:,Linear Probing,Chaining,Double Hashing,All of above,D,Sorting,Advanced
105,DP is used when a problem has:,Overlapping subproblems,Optimal substructure,Both,Neither,C,Searching,Advanced
106,Memoization is:,Top-down approach,Bottom-up approach,Recursive approach,Iterative approach,A,Tree,Advanced
107,Tabulation is:,Top-down DP,Bottom-up DP,Recursive,None,B,BST,Advanced
108,Backtracking is used for:,N-Queens problem,Sudoku solver,Maze solving,All,D,AVL Tree,Advanced
109,Time complexity of backtracking can be:,O(n),O(n!),O(2^n),All of above,D,Heap,Advanced
110,KMP algorithm is used for:,Pattern matching,Sorting,Searching,Hashing,A,Graph,Advanced
111,Time complexity of KMP is:,O(n + m),O(n * m),O(n log m),O(m log n),A,Graph Traversal,Advanced
112,Rabin-Karp uses which concept?,Hashing,Sorting,Trees,Graphs,A,Shortest Path,Advanced
113,Greedy algorithms work when problem has:,Optimal substructure,Greedy choice property,Both,Neither,C,MST,Advanced
114,Activity selection uses:,Greedy,DP,Backtracking,Divide and Conquer,A,Hash Table,Advanced
115,Merge Sort uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Dynamic Programming,Advanced
116,Binary Search uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Backtracking,Advanced
117,Topological sorting is for:,Directed Acyclic Graph,Undirected graph,Weighted graph,Complete graph,A,String Algorithms,Advanced
118,Strongly Connected Components are found using:,DFS,BFS,Dijkstra,Prim's,A,Greedy,Advanced
119,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array,Beginner
120,Which operation is most efficient in an array?,Insertion at beginning,Deletion from middle,Searching an element,Random access,D,Linked List,Beginner
121,What is the space complexity of an array of size n?,O(1),O(log n),O(n),O(n²),C,Stack,Beginner
122,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),A,Queue,Beginner
123,"In a doubly linked list, each node contains how many pointers?",1,2,3,4,B,Sorting,Beginner
124,Time complexity of searching in an unsorted linked list is:,O(1),O(log n),O(n),O(n²),C,Searching,Beginner
125,Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,B,Tree,Beginner
126,What is the time complexity of push and pop operations in a stack?,O(n),O(log n),O(1),O(n²),C,BST,Beginner
127,In which application is stack NOT used?,Function call management,Expression evaluation,BFS traversal,Undo/Redo functionality,C,AVL Tree,Beginner
128,Which data structure follows FIFO principle?,Stack,Queue,Deque,Heap,B,Heap,Beginner
129,What is the time complexity of enqueue and dequeue in a simple queue?,O(n),O(1),O(log n),O(n²),B,Graph,Beginner
130,A circular queue is better than a simple queue because:,It uses less memory,It avoids the wastage of space,It is faster,It requires less code,B,Graph Traversal,Beginner
131,What is the average time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(2^n),B,Shortest Path,Intermediate
132,Which sorting algorithm is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,MST,Intermediate
133,Merge Sort has a time complexity of:,O(n),O(n log n),O(n²),O(n³),B,Hash Table,Intermediate
134,Bubble Sort is efficient for which case?,Already sorted data,Reverse sorted data,Random data,Large datasets,A,Dynamic Programming,Intermediate
135,What is the space complexity of Quick Sort?,O(1),O(log n),O(n),O(n²),B,Backtracking,Intermediate
136,Binary Search works on which type of array?,Unsorted,Sorted,Partially sorted,None of above,B,String Algorithms,Intermediate
137,Time complexity of Binary Search is:,O(n),O(log n),O(n log n),O(n²),B,Greedy,Intermediate
138,Linear Search has a time complexity of:,O(1),O(log n),O(n),O(n²),C,Divide and Conquer,Intermediate
139,What is a binary tree?,Tree with max 2 children,Tree with exactly 2 children,Tree with 3 children,Tree with 4 children,A,Array,Intermediate
140,Height of a tree with single node is:,0,1,2,-1,A,Linked List,Intermediate
141,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^(h+1) - 1,2^h,h²,B,Stack,Intermediate
142,"In a BST, for any node, left child is:",Greater than parent,Less than parent,Equal to parent,Any value,B,Queue,Intermediate
143,Time complexity of searching in a balanced BST is:,O(1),O(log n),O(n),O(n²),B,Sorting,Intermediate
144,Inorder traversal of a BST gives:,Sorted array,Reverse sorted array,Random order,Heap order,A,Searching,Intermediate
145,AVL tree is a:,Unbalanced BST,Self-balancing BST,Complete tree,Perfect tree,B,Tree,Intermediate
146,Balance factor in AVL tree is defined as:,Left height - Right height,Right height - Left height,Left height + Right height,Left height / Right height,A,BST,Intermediate
147,Height of an AVL tree with n nodes is:,O(n),O(log n),O(n log n),O(n²),B,AVL Tree,Intermediate
148,"In a min heap, the smallest element is at:",Leaf,Root,Middle,Random,B,Heap,Intermediate
149,Time complexity of insertion in a heap is:,O(1),O(log n),O(n),O(n²),B,Graph,Advanced
150,Heap sort time complexity is:,O(n),O(n log n),O(n²),O(2^n),B,Graph Traversal,Advanced
151,Adjacency matrix representation requires space of:,O(V),O(E),O(V²),O(V + E),C,Shortest Path,Advanced
152,Adjacency list representation requires space of:,O(V),O(V²),O(E),O(V + E),D,MST,Advanced
153,DFS uses which data structure?,Queue,Stack,Deque,Heap,B,Hash Table,Advanced
154,BFS uses which data structure?,Stack,Queue,Priority Queue,Deque,B,Dynamic Programming,Advanced
155,Time complexity of DFS and BFS is:,O(n),O(V + E),O(V²),O(E log V),B,Backtracking,Advanced
156,Dijkstra's algorithm is used for:,Negative weights,Positive weights,Unweighted graphs,None,B,String Algorithms,Advanced
157,Bellman-Ford can handle:,Only positive weights,Negative weights,Negative cycles,All graphs,B,Greedy,Advanced
158,Floyd-Warshall finds:,Shortest path between two nodes,All pairs shortest path,Minimum spanning tree,Topological sort,B,Divide and Conquer,Advanced
159,Kruskal's algorithm uses which approach?,Dynamic Programming,Greedy,Divide and Conquer,Backtracking,B,Array,Advanced
160,Prim's algorithm starts from:,A random vertex,A specific vertex,The minimum edge,None,B,Linked List,Advanced
161,Time complexity of Kruskal's algorithm is:,O(E log E),O(V log V),O(V + E),O(V²),A,Stack,Advanced
162,Hash table provides average time complexity of:,O(log n),O(n),O(1),O(n²),C,Queue,Advanced
163,Collision resolution technique is:,Linear Probing,Chaining,Double Hashing,All of above,D,Sorting,Advanced
164,DP is used when a problem has:,Overlapping subproblems,Optimal substructure,Both,Neither,C,Searching,Advanced
165,Memoization is:,Top-down approach,Bottom-up approach,Recursive approach,Iterative approach,A,Tree,Advanced
166,Tabulation is:,Top-down DP,Bottom-up DP,Recursive,None,B,BST,Advanced
167,Backtracking is used for:,N-Queens problem,Sudoku solver,Maze solving,All,D,AVL Tree,Advanced
168,Time complexity of backtracking can be:,O(n),O(n!),O(2^n),All of above,D,Heap,Advanced
169,KMP algorithm is used for:,Pattern matching,Sorting,Searching,Hashing,A,Graph,Advanced
170,Time complexity of KMP is:,O(n + m),O(n * m),O(n log m),O(m log n),A,Graph Traversal,Advanced
171,Rabin-Karp uses which concept?,Hashing,Sorting,Trees,Graphs,A,Shortest Path,Advanced
172,Greedy algorithms work when problem has:,Optimal substructure,Greedy choice property,Both,Neither,C,MST,Advanced
173,Activity selection uses:,Greedy,DP,Backtracking,Divide and Conquer,A,Hash Table,Advanced
174,Merge Sort uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Dynamic Programming,Advanced
175,Binary Search uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Backtracking,Advanced
176,Topological sorting is for:,Directed Acyclic Graph,Undirected graph,Weighted graph,Complete graph,A,String Algorithms,Advanced
177,Strongly Connected Components are found using:,DFS,BFS,Dijkstra,Prim's,A,Greedy,Advanced
178,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array,Beginner
179,Which operation is most efficient in an array?,Insertion at beginning,Deletion from middle,Searching an element,Random access,D,Linked List,Beginner
180,What is the space complexity of an array of size n?,O(1),O(log n),O(n),O(n²),C,Stack,Beginner
181,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),A,Queue,Beginner
182,"In a doubly linked list, each node contains how many pointers?",1,2,3,4,B,Sorting,Beginner
183,Time complexity of searching in an unsorted linked list is:,O(1),O(log n),O(n),O(n²),C,Searching,Beginner
184,Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,B,Tree,Beginner
185,What is the time complexity of push and pop operations in a stack?,O(n),O(log n),O(1),O(n²),C,BST,Beginner
186,In which application is stack NOT used?,Function call management,Expression evaluation,BFS traversal,Undo/Redo functionality,C,AVL Tree,Beginner
187,Which data structure follows FIFO principle?,Stack,Queue,Deque,Heap,B,Heap,Beginner
188,What is the time complexity of enqueue and dequeue in a simple queue?,O(n),O(1),O(log n),O(n²),B,Graph,Beginner
189,A circular queue is better than a simple queue because:,It uses less memory,It avoids the wastage of space,It is faster,It requires less code,B,Graph Traversal,Beginner
190,What is the average time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(2^n),B,Shortest Path,Intermediate
191,Which sorting algorithm is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,MST,Intermediate
192,Merge Sort has a time complexity of:,O(n),O(n log n),O(n²),O(n³),B,Hash Table,Intermediate
193,Bubble Sort is efficient for which case?,Already sorted data,Reverse sorted data,Random data,Large datasets,A,Dynamic Programming,Intermediate
194,What is the space complexity of Quick Sort?,O(1),O(log n),O(n),O(n²),B,Backtracking,Intermediate
195,Binary Search works on which type of array?,Unsorted,Sorted,Partially sorted,None of above,B,String Algorithms,Intermediate
196,Time complexity of Binary Search is:,O(n),O(log n),O(n log n),O(n²),B,Greedy,Intermediate
197,Linear Search has a time complexity of:,O(1),O(log n),O(n),O(n²),C,Divide and Conquer,Intermediate
198,What is a binary tree?,Tree with max 2 children,Tree with exactly 2 children,Tree with 3 children,Tree with 4 children,A,Array,Intermediate
199,Height of a tree with single node is:,0,1,2,-1,A,Linked List,Intermediate
200,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^(h+1) - 1,2^h,h²,B,Stack,Intermediate
201,"In a BST, for any node, left child is:",Greater than parent,Less than parent,Equal to parent,Any value,B,Queue,Intermediate
202,Time complexity of searching in a balanced BST is:,O(1),O(log n),O(n),O(n²),B,Sorting,Intermediate
203,Inorder traversal of a BST gives:,Sorted array,Reverse sorted array,Random order,Heap order,A,Searching,Intermediate
204,AVL tree is a:,Unbalanced BST,Self-balancing BST,Complete tree,Perfect tree,B,Tree,Intermediate
205,Balance factor in AVL tree is defined as:,Left height - Right height,Right height - Left height,Left height + Right height,Left height / Right height,A,BST,Intermediate
206,Height of an AVL tree with n nodes is:,O(n),O(log n),O(n log n),O(n²),B,AVL Tree,Intermediate
207,"In a min heap, the smallest element is at:",Leaf,Root,Middle,Random,B,Heap,Intermediate
208,Time complexity of insertion in a heap is:,O(1),O(log n),O(n),O(n²),B,Graph,Advanced
209,Heap sort time complexity is:,O(n),O(n log n),O(n²),O(2^n),B,Graph Traversal,Advanced
210,Adjacency matrix representation requires space of:,O(V),O(E),O(V²),O(V + E),C,Shortest Path,Advanced
211,Adjacency list representation requires space of:,O(V),O(V²),O(E),O(V + E),D,MST,Advanced
212,DFS uses which data structure?,Queue,Stack,Deque,Heap,B,Hash Table,Advanced
213,BFS uses which data structure?,Stack,Queue,Priority Queue,Deque,B,Dynamic Programming,Advanced
214,Time complexity of DFS and BFS is:,O(n),O(V + E),O(V²),O(E log V),B,Backtracking,Advanced
215,Dijkstra's algorithm is used for:,Negative weights,Positive weights,Unweighted graphs,None,B,String Algorithms,Advanced
216,Bellman-Ford can handle:,Only positive weights,Negative weights,Negative cycles,All graphs,B,Greedy,Advanced
217,Floyd-Warshall finds:,Shortest path between two nodes,All pairs shortest path,Minimum spanning tree,Topological sort,B,Divide and Conquer,Advanced
218,Kruskal's algorithm uses which approach?,Dynamic Programming,Greedy,Divide and Conquer,Backtracking,B,Array,Advanced
219,Prim's algorithm starts from:,A random vertex,A specific vertex,The minimum edge,None,B,Linked List,Advanced
220,Time complexity of Kruskal's algorithm is:,O(E log E),O(V log V),O(V + E),O(V²),A,Stack,Advanced
221,Hash table provides average time complexity of:,O(log n),O(n),O(1),O(n²),C,Queue,Advanced
222,Collision resolution technique is:,Linear Probing,Chaining,Double Hashing,All of above,D,Sorting,Advanced
223,DP is used when a problem has:,Overlapping subproblems,Optimal substructure,Both,Neither,C,Searching,Advanced
224,Memoization is:,Top-down approach,Bottom-up approach,Recursive approach,Iterative approach,A,Tree,Advanced
225,Tabulation is:,Top-down DP,Bottom-up DP,Recursive,None,B,BST,Advanced
226,Backtracking is used for:,N-Queens problem,Sudoku solver,Maze solving,All,D,AVL Tree,Advanced
227,Time complexity of backtracking can be:,O(n),O(n!),O(2^n),All of above,D,Heap,Advanced
228,KMP algorithm is used for:,Pattern matching,Sorting,Searching,Hashing,A,Graph,Advanced
229,Time complexity of KMP is:,O(n + m),O(n * m),O(n log m),O(m log n),A,Graph Traversal,Advanced
230,Rabin-Karp uses which concept?,Hashing,Sorting,Trees,Graphs,A,Shortest Path,Advanced
231,Greedy algorithms work when problem has:,Optimal substructure,Greedy choice property,Both,Neither,C,MST,Advanced
232,Activity selection uses:,Greedy,DP,Backtracking,Divide and Conquer,A,Hash Table,Advanced
233,Merge Sort uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Dynamic Programming,Advanced
234,Binary Search uses:,Greedy,DP,Divide and Conquer,Backtracking,C,Backtracking,Advanced
235,Topological sorting is for:,Directed Acyclic Graph,Undirected graph,Weighted graph,Complete graph,A,String Algorithms,Advanced
236,Strongly Connected Components are found using:,DFS,BFS,Dijkstra,Prim's,A,Greedy,Advanced
237,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n²),C,Array,Beginner
238,Which operation is most efficient in an array?,Insertion at beginning,Deletion from middle,Searching an element,Random access,D,Linked List,Beginner
239,What is the space complexity of an array of size n?,O(1),O(log n),O(n),O(n²),C,Stack,Beginner
240,What is the time complexity of inserting an element at the beginning of a singly linked list?,O(1),O(n),O(log n),O(n²),A,Queue,Beginner
241,"In a doubly linked list, each node contains how many pointers?",1,2,3,4,B,Sorting,Beginner
242,Time complexity of searching in an unsorted linked list is:,O(1),O(log n),O(n),O(n²),C,Searching,Beginner
243,Which data structure follows LIFO principle?,Queue,Stack,Tree,Graph,B,Tree,Beginner
244,What is the time complexity of push and pop operations in a stack?,O(n),O(log n),O(1),O(n²),C,BST,Beginner
245,In which application is stack NOT used?,Function call management,Expression evaluation,BFS traversal,Undo/Redo functionality,C,AVL Tree,Beginner
246,Which data structure follows FIFO principle?,Stack,Queue,Deque,Heap,B,Heap,Beginner
247,What is the time complexity of enqueue and dequeue in a simple queue?,O(n),O(1),O(log n),O(n²),B,Graph,Beginner
248,A circular queue is better than a simple queue because:,It uses less memory,It avoids the wastage of space,It is faster,It requires less code,B,Graph Traversal,Beginner
249,What is the average time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(2^n),B,Shortest Path,Intermediate
250,Which sorting algorithm is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,MST,Intermediate
251,Merge Sort has a time complexity of:,O(n),O(n log n),O(n²),O(n³),B,Hash Table,Intermediate
252,Bubble Sort is efficient for which case?,Already sorted data,Reverse sorted data,Random data,Large datasets,A,Dynamic Programming,Intermediate
253,What is the space complexity of Quick Sort?,O(1),O(log n),O(n),O(n²),B,Backtracking,Intermediate
254,Binary Search works on which type of array?,Unsorted,Sorted,Partially sorted,None of above,B,String Algorithms,Intermediate
255,Time complexity of Binary Search is:,O(n),O(log n),O(n log n),O(n²),B,Greedy,Intermediate
256,Linear Search has a time complexity of:,O(1),O(log n),O(n),O(n²),C,Divide and Conquer,Intermediate
257,What is a binary tree?,Tree with max 2 children,Tree with exactly 2 children,Tree with 3 children,Tree with 4 children,A,Array,Intermediate
258,Height of a tree with single node is:,0,1,2,-1,A,Linked List,Intermediate
259,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^(h+1) - 1,2^h,h²,B,Stack,Intermediate
260,"In a BST, for any node, left child is:",Greater than parent,Less than parent,Equal to parent,Any value,B,Queue,Intermediate
261,Time complexity of searching in a balanced BST is:,O(1),O(log n),O(n),O(n²),B,Sorting,Intermediate
262,Inorder traversal of a BST gives:,Sorted array,Reverse sorted array,Random order,Heap order,A,Searching,Intermediate
263,AVL tree is a:,Unbalanced BST,Self-balancing BST,Complete tree,Perfect tree,B,Tree,Intermediate
264,Balance factor in AVL tree is defined as:,Left height - Right height,Right height - Left height,Left height + Right height,Left height / Right height,A,BST,Intermediate
265,Height of an AVL tree with n nodes is:,O(n),O(log n),O(n log n),O(n²),B,AVL Tree,Intermediate
266,"In a min heap, the smallest element is at:",Leaf,Root,Middle,Random,B,Heap,Intermediate
267,Time complexity of insertion in a heap is:,O(1),O(log n),O(n),O(n²),B,Graph,Advanced
268,Heap sort time complexity is:,O(n),O(n log n),O(n²),O(2^n),B,Graph Traversal,Advanced
269,Adjacency matrix representation requires space of:,O(V),O(E),O(V²),O(V + E),C,Shortest Path,Advanced
270,Adjacency list representation requires space of:,O(V),O(V²),O(E),O(V + E),D,MST,Advanced
271,DFS uses which data structure?,Queue,Stack,Deque,Heap,B,Hash Table,Advanced
