Question_ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Topic
111,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
112,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
113,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
114,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
115,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
116,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
117,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
118,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
119,Which of the following is a prime number?,15,21,29,35,C,Number System
120,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
121,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
122,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
123,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
124,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
125,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
126,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
127,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
128,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
129,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
130,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
131,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
132,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
133,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
134,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
135,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
136,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
137,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
138,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
139,Which of the following is a prime number?,15,21,29,35,C,Number System
140,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
141,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
142,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
143,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
144,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
145,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
146,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
147,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
148,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
149,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
150,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
151,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
152,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
153,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
154,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
155,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
156,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
157,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
158,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
159,Which of the following is a prime number?,15,21,29,35,C,Number System
160,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
161,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
162,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
163,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
164,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
165,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
166,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
167,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
168,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
169,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
170,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
171,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
172,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
173,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
174,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
175,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
176,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
177,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
178,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
179,Which of the following is a prime number?,15,21,29,35,C,Number System
180,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
181,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
182,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
183,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
184,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
185,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
186,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
187,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
188,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
189,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
190,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
191,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
192,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
193,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
194,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
195,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
196,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
197,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
198,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
199,Which of the following is a prime number?,15,21,29,35,C,Number System
200,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
201,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
202,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
203,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
204,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
205,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
206,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
207,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
208,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
209,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
210,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
211,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
212,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
213,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
214,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
215,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
216,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
217,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
218,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
219,Which of the following is a prime number?,15,21,29,35,C,Number System
220,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
221,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
222,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
223,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
224,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
225,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
226,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
227,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
228,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
229,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
230,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
231,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
232,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
233,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
234,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
235,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
236,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
237,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
238,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
239,Which of the following is a prime number?,15,21,29,35,C,Number System
240,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
241,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
242,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
243,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
244,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
245,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
246,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
247,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
248,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
249,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
250,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
251,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
252,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
253,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
254,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
255,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
256,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
257,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
258,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
259,Which of the following is a prime number?,15,21,29,35,C,Number System
260,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
261,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
262,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
263,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
264,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
265,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
