id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
11,Frontend Developer,Senior Frontend Developer,Stratos AI,"Berlin, Germany",Contract-to-Hire,"$95,000 – $120,000",We are looking for a talented Senior Frontend Developer to join our product engineering team and help build world-class web experiences.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs""]","[""Storybook"", ""Cypress"", ""WebSockets"", ""Docker"", ""TDD""]",3-5 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
12,Backend Developer,Backend Architect,DataVault Inc.,Singapore,Full-time (Remote),"$160,000 – $200,000","As a Backend Architect, you will architect and implement core backend services that power our platform.","[""Python"", ""Django"", ""PostgreSQL"", ""REST APIs"", ""Git""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""OpenAPI"", ""New Relic""]",3-5 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
13,Full Stack Developer,Full Stack Python Developer,Cascade Data,"Bangalore, India",Contract,"$80,000 – $100,000",We are hiring a Full Stack Python Developer to work across our entire stack and deliver impactful product features.,"[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Jira"", ""Agile""]","[""WebSockets"", ""Redis"", ""Pulumi"", ""Playwright"", ""OpenAPI"", ""Swagger""]",1-3 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
14,Data Scientist,Staff Data Scientist,Pinnacle Software,"Denver, CO",Full-time (Hybrid),"$90,000 – $110,000",We need a Staff Data Scientist to lead our analytics and modeling efforts across key business verticals.,"[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""CI/CD""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""Postman"", ""New Relic""]",4-6 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
15,Machine Learning Engineer,Principal ML Engineer,Nexus Systems,Remote,Full-time (Hybrid),"$70,000 – $90,000",Join our AI team as a Principal ML Engineer and work on cutting-edge models deployed at scale.,"[""Python"", ""TensorFlow"", ""PyTorch"", ""SQL"", ""Docker""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon"", ""PagerDuty""]",3-5 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
16,DevOps Engineer,Principal DevOps Engineer,Nexus Systems,"Austin, TX",Full-time (Hybrid),"$80,000 – $100,000",We are looking for a Principal DevOps Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Docker"", ""Kubernetes"", ""CI/CD"", ""Linux"", ""Git""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""TDD"", ""Swagger""]",1-3 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
17,Cloud Engineer,Azure Cloud Engineer,Synapse AI,"Seattle, WA",Full-time,"$200,000 – $250,000","As a Azure Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""AWS"", ""Terraform"", ""Python"", ""Docker"", ""Linux""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery"", ""TDD""]",3-5 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
18,Mobile App Developer,Flutter Developer,BlueSky Analytics,Singapore,Contract,"$200,000 – $250,000","We are looking for a Flutter Developer to build beautiful, performant mobile experiences for our users.","[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel""]",6+ years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
19,Cybersecurity Analyst,Penetration Tester,Apex Digital,Hybrid – NYC,Full-time (Remote),"$150,000 – $180,000",We need a Penetration Tester to lead our security operations and build a resilient security posture.,"[""Splunk"", ""Wireshark"", ""Vulnerability Scanning"", ""Python"", ""OWASP""]","[""OSCP"", ""Elastic SIEM"", ""Threat Intelligence"", ""Ansible"", ""Postman""]",0-2 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
20,Data Analyst,Senior Data Analyst,Cascade Data,Singapore,Contract-to-Hire,"$95,000 – $120,000","As a Senior Data Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing""]","[""Fivetran"", ""BigQuery"", ""Amplitude"", ""Mixpanel""]",1-3 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
21,Frontend Developer,Senior Frontend Developer,Cobalt Platforms,"Denver, CO",Full-time (Hybrid),"$150,000 – $180,000",We are looking for a talented Senior Frontend Developer to join our product engineering team and help build world-class web experiences.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs"", ""Microservices"", ""Jira""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD"", ""Slack"", ""New Relic""]",0-1 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
22,Backend Developer,Staff Software Engineer – Backend,CloudBridge,Hybrid – NYC,Full-time,"$80,000 – $100,000","As a Staff Software Engineer – Backend, you will architect and implement core backend services that power our platform.","[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""REST APIs""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""Scrum""]",7+ years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
23,Full Stack Developer,Software Engineer – Full Stack,Synapse AI,"San Francisco, CA",Full-time,"$160,000 – $200,000",Join us as a Software Engineer – Full Stack and help shape the full stack architecture of our growing platform.,"[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions"", ""BDD""]",7+ years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
24,Data Scientist,Decision Scientist,Pinnacle Software,"Seattle, WA",Full-time,"$130,000 – $160,000","Join our data science team as a Decision Scientist and help us build intelligent, data-driven products.","[""Python"", ""PyTorch"", ""A/B Testing"", ""SQL"", ""Matplotlib"", ""CI/CD"", ""Confluence""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""Slack""]",8+ years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
25,Machine Learning Engineer,ML Engineer,DataVault Inc.,"Austin, TX",Full-time (Hybrid),"$200,000 – $250,000",We are hiring a ML Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS"", ""Code Review""]","[""TensorRT"", ""ONNX Runtime"", ""BentoML"", ""DVC""]",1-3 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
26,DevOps Engineer,DevOps Lead,Meridian Cloud,"London, UK",Full-time (Hybrid),"$110,000 – $130,000",We are looking for a DevOps Lead to build and scale our cloud infrastructure and deployment pipelines.,"[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""TDD"", ""Swagger""]",5-7 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
27,Cloud Engineer,AWS Cloud Engineer,CloudBridge,Remote,Full-time (Hybrid),"$70,000 – $90,000",Join our cloud team as a AWS Cloud Engineer and help architect the next generation of our platform.,"[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Code Review""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie""]",5-7 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
28,Mobile App Developer,Android Developer,Nexus Systems,"Toronto, ON",Full-time (Hybrid),"$110,000 – $130,000","As a Android Developer, you will own mobile feature development and ensure a world-class app experience.","[""React Native"", ""JavaScript"", ""TypeScript"", ""Redux"", ""REST APIs""]","[""Expo"", ""GraphQL"", ""Storybook"", ""Detox"", ""Slack""]",6+ years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
29,Cybersecurity Analyst,Cloud Security Engineer,Pixel Dynamics,"San Francisco, CA",Contract-to-Hire,"$80,000 – $100,000",We need a Cloud Security Engineer to lead our security operations and build a resilient security posture.,"[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10"", ""REST APIs""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto""]",0-2 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
30,Data Analyst,Product Data Analyst,NovaTech Solutions,"Berlin, Germany",Full-time,"$80,000 – $100,000",Join our analytics team as a Product Data Analyst and help us build a data-driven culture.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Slack"", ""Scrum""]",3-5 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
31,Frontend Developer,Junior Frontend Developer,Nexus Systems,"Atlanta, GA",Contract,"$95,000 – $120,000","As a Junior Frontend Developer, you will own the frontend layer of our flagship product and drive UI excellence.","[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma"", ""Jira""]","[""Accessibility (WCAG)"", ""Micro-frontends"", ""Vite"", ""Playwright"", ""OpenAPI"", ""New Relic""]",3-5 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
32,Backend Developer,API Developer,Meridian Cloud,Hybrid – SF,Full-time (Hybrid),"$95,000 – $120,000",We need a API Developer to take ownership of our backend infrastructure and drive reliability.,"[""Node.js"", ""Express"", ""MongoDB"", ""Docker"", ""Redis""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest"", ""TDD"", ""PagerDuty""]",1-3 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
33,Full Stack Developer,Full Stack Architect,Meridian Cloud,"Atlanta, GA",Full-time (Hybrid),"$80,000 – $100,000",We're looking for a Full Stack Architect who thrives in ambiguity and can ship end-to-end product experiences.,"[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS"", ""Linux"", ""Unit Testing""]","[""Jest"", ""Cypress"", ""Kafka"", ""Helm"", ""OpenAPI""]",3-5 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
34,Data Scientist,Junior Data Scientist,BlueSky Analytics,Hybrid – NYC,Full-time (Hybrid),"$130,000 – $160,000","Join our data science team as a Junior Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""PagerDuty"", ""TDD""]",4-6 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
35,Machine Learning Engineer,Applied ML Engineer,NovaTech Solutions,"Austin, TX",Full-time (Remote),"$200,000 – $250,000",We're looking for a Applied ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""TensorFlow"", ""PyTorch"", ""SQL"", ""Docker""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex"", ""Scrum""]",7+ years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
36,DevOps Engineer,Build & Release Engineer,InnovateTech,Hybrid – NYC,Full-time (Hybrid),"$130,000 – $160,000",We are looking for a Build & Release Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash"", ""Linux""]","[""Spinnaker"", ""Atlantis"", ""OPA"", ""Linkerd"", ""New Relic"", ""PagerDuty""]",7+ years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
37,Cloud Engineer,Cloud Engineer,Horizon Engineering,"Boston, MA",Contract-to-Hire,"$110,000 – $130,000","As a Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git""]","[""Azure Policy"", ""Bicep"", ""Defender for Cloud"", ""Sentinel""]",1-3 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
38,Mobile App Developer,Senior Mobile Developer,Quantum Labs,"Toronto, Canada",Full-time,"$80,000 – $100,000","We are looking for a Senior Mobile Developer to build beautiful, performant mobile experiences for our users.","[""React Native"", ""JavaScript"", ""TypeScript"", ""Redux"", ""REST APIs""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel"", ""BDD"", ""Swagger""]",0-2 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
39,Cybersecurity Analyst,Information Security Analyst,Horizon Engineering,"Denver, CO",Full-time (Remote),"$90,000 – $110,000",We are hiring a Information Security Analyst to protect our infrastructure and customer data from evolving cyber threats.,"[""SIEM"", ""IDS/IPS"", ""Network Security"", ""Linux"", ""TCP/IP""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto"", ""Scrum"", ""Postman""]",2-4 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
40,Data Analyst,Junior Data Analyst,Horizon Engineering,"Toronto, Canada",Full-time,"$160,000 – $200,000","As a Junior Data Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Snowflake"", ""dbt"", ""Metabase"", ""Python"", ""Unit Testing"", ""CI/CD""]","[""GA4"", ""Heap"", ""Looker"", ""Salesforce"", ""PagerDuty"", ""BDD""]",0-1 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
41,Frontend Developer,Junior Frontend Developer,Pinnacle Software,Hybrid – NYC,Full-time (Hybrid),"$70,000 – $90,000","As a Junior Frontend Developer, you will own the frontend layer of our flagship product and drive UI excellence.","[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs""]","[""Accessibility (WCAG)"", ""Micro-frontends"", ""Vite"", ""Playwright""]",5-7 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
42,Backend Developer,Node.js Developer,Cascade Data,Singapore,Full-time,"$70,000 – $90,000","As a Node.js Developer, you will architect and implement core backend services that power our platform.","[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""Code Review"", ""REST APIs""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD""]",5-7 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
43,Full Stack Developer,Full Stack Architect,NovaTech Solutions,"Chicago, IL",Full-time (Hybrid),"$80,000 – $100,000",We're looking for a Full Stack Architect who thrives in ambiguity and can ship end-to-end product experiences.,"[""React"", ""Node.js"", ""PostgreSQL"", ""REST APIs"", ""Git"", ""Unit Testing""]","[""Jest"", ""Cypress"", ""Kafka"", ""Helm""]",5-7 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
44,Data Scientist,Lead Data Scientist,Luminary Tech,"Los Angeles, CA",Full-time (Hybrid),"$80,000 – $100,000","Join our data science team as a Lead Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""R"", ""Statistics"", ""Machine Learning"", ""SQL"", ""REST APIs"", ""Jira""]","[""Looker"", ""Snowflake"", ""XGBoost"", ""Weights & Biases"", ""Swagger"", ""New Relic""]",0-2 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
45,Machine Learning Engineer,MLOps Engineer,TechCorp,"Toronto, ON",Full-time,"$130,000 – $160,000",We are hiring a MLOps Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon"", ""New Relic""]",3-5 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
